,"(nan, 'xp')","('dc_ose_metrics.csv', 'Method')","('dc_ose_metrics.csv', 'µ(RMSE) ')","('dc_ose_metrics.csv', 'λx (km)')","('dc_ose_metrics.csv', 'σ(RMSE)')","('ose_metrics.csv', 'rmse')","('ose_metrics.csv', 'λx')","('ose_metrics.csv', 'μ')","('osse_metrics.csv', 'RMSE (m)')","('osse_metrics.csv', 'λt')","('osse_metrics.csv', 'λx')","('osse_metrics.csv', 'μ')","('osse_metrics.csv', 'σ')",root['input_da']['path'],root['domains']['val']['time']['_args_'][0],root['domains']['val']['time']['_args_'][1],root['aug_factor'],root['aug_only'],root['domains']['train']['time']['_args_'][0],root['xrds_kw']['strides']['lat'],root['xrds_kw']['strides']['lon'],root['dl_kw']['batch_size'],root['_target_'],root['input_da']['_target_'],root['xrds_kw']['patch_dims']['time'],root['opt_fn']['_target_'],root['rec_weight']['_target_'],root['rec_weight']['crop']['time'],root['solver']['prior_cost']['dim_hidden'],root['solver']['grad_mod']['dim_hidden'],root['opt_fn']['lr'],root['rec_weight']['crop']['lat'],root['rec_weight']['crop']['lon'],root['rec_weight']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['xrds_kw']['patch_dims']['time'],root['norm_stats']['self']['obj_cfg']['dl_kw']['batch_size'],root['norm_stats']['self']['obj_cfg']['aug_factor'],root['solver']['n_step'],root['solver']['prior_cost']['dim_in'],root['solver']['grad_mod']['dim_in'],root['logger']['save_dir'],root['logger']['name'],root['max_epochs'],root['callbacks'][1]['_target_'],root['callbacks'][1]['filename']
tgt_from_obs_waug_not/3,o2o_glo12_rea_no_t,4DVarNet,0.8945540087666188,106.0,0.07521453750667793,0.0542872573750077,108.26886796904871,0.9056345492811472,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-30/13-15-52/3,o2o_glo12_rea_no_t,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
med_mod,big_mod,4DVarNet,0.89151017870919,106.0,0.07512401042988648,0.0573311629909507,113.72070457735694,0.9031561917808744,0.0263464675854815,6.801,0.797,0.95429,0.01235,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,2.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-13/14-33-36,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
tgt_from_obs_waug_glo/1,o2o_glo12_rea_dc_split,4DVarNet,0.893624399512811,107.0,0.0740410571094147,0.0552628165037574,109.98062214950382,0.9038128808254324,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-30/13-07-37/1,o2o_glo12_rea_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
cnatl_nadirs,base,4DVarNet,0.895995377098967,107.0,0.07467998622958251,0.0531803015165564,56.5102377897362,0.9104105890383456,0.024968340614529,17.999,1.075,0.95704,0.00606,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,2.0,False,2013-02-24,200.0,200.0,8.0,src.data.BaseDataModule,src.utils.load_full_natl_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-10/17-03-48,base,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
swa_aug1_200ep,base,4DVarNet,0.8884080279316663,107.0,0.07650848520764747,0.0597746793505806,113.70755599418295,0.8986249513744805,0.0278909924166294,17.116,1.029,0.95203,0.00577,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,1.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-07/15-45-29,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
swa_aug5_trian_wei,big_mod,4DVarNet,0.8942515738465824,107.0,0.07098781086120035,0.0555230284883864,116.12081659873708,0.9062225569211144,0.0255310256008244,7.021,0.749,0.9557,0.01183,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,50.0,75.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-14/12-16-04,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
tide_no_aug,o2o_enatl_w_tide_dc_split,4DVarNet,0.8657954626644371,108.0,0.07936339175614035,0.073229687323645,135.77125426601012,0.8762811066516227,0.0408741681451955,9.675,1.226,0.92967,0.0058,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-14/14-37-30,o2o_enatl_w_tide_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tide_filt25,o2o_enatl_w_tide_filt_25h_dc_split,4DVarNet,0.864806003278633,108.0,0.08062451743676935,0.0740187135986476,63.527462748180525,0.877138263889955,0.0420404416037228,9.171,1.228,0.92766,0.00554,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-15/10-03-48,o2o_enatl_w_tide_filt_25h_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
glorea,o2o_glo12_rea_dc_split,4DVarNet,0.8941276568961749,108.0,0.07364187483753235,0.0544002351324519,117.12658809262015,0.9066161957842468,0.0301224370228011,6.161,0.963,0.92855,0.01873,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-03/16-27-57/1,o2o_glo12_rea_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
no_tide_no_aug,o2o_enatl_wo_tide_dc_split,4DVarNet,0.8645149471888864,108.0,0.08317439072624293,0.0741679467971509,80.13187562385481,0.8765657563311495,0.0416694288840789,9.207,1.222,0.9283,0.0063,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-14/13-32-40,o2o_enatl_wo_tide_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
natl_no_aug,o2o_natl20_dc_split,4DVarNet,0.8909766903730251,108.0,0.07845015453787325,0.0568834595612162,89.28339333960172,0.9002975398987776,0.0264414666370444,5.837,1.07,0.9545,0.00645,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-14/13-33-29,o2o_natl20_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
swa_aug4,base,4DVarNet,0.886643504854387,109.0,0.07417012668069334,0.0615925262431462,115.52689403451436,0.895591862218693,0.024981074651756,7.226,0.826,0.95678,0.006,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,4.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-09/08-29-22,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
small_mod_triang_wei,big_mod,4DVarNet,0.8936234627615295,110.0,0.07417198320260165,0.055797052741871,116.92801906794776,0.905629861487861,0.0296993361563079,5.549,0.766,0.94853,0.01237,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,1.0,32.0,64.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-11/16-25-03,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
swa_aug2_triang_wei,big_mod,4DVarNet,0.8924225786111978,110.0,0.07382029780317247,0.0567955496908071,116.84091821272584,0.9035389385541316,0.0280393428661542,7.516,0.756,0.95135,0.01472,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,2.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,50.0,75.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-13/08-29-28,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
swa_aug3,base,4DVarNet,0.8842207908043122,110.0,0.0750402011525672,0.0627875215177258,116.75390965427611,0.8920318664610903,0.0261392451684506,7.167,0.845,0.95477,0.00737,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,3.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-08/18-01-16,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/0,o2o_enatl_w_tide_dac_only_dc_split,4DVarNet,0.892409988153006,111.0,0.07425717521726703,0.0560515946160338,107.85553627430524,0.9040779596510392,0.0250154582580984,5.509,1.014,0.95696,0.00636,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/0,o2o_enatl_w_tide_dac_only_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/4,o2o_enatl_wo_tide_dc_split,4DVarNet,0.8910485476094225,111.0,0.07250471665992238,0.0569167914455136,54.4314989234409,0.9035269767577788,0.0240240631785952,21.783,0.911,0.95866,0.00606,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/4,o2o_enatl_wo_tide_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/5,o2o_enatl_wo_tide_filt_25h_dc_split,4DVarNet,0.891093112379027,111.0,0.07055142257223929,0.0570166828600443,107.4728405982108,0.9036832219601056,0.0245241098431986,6.399,1.075,0.9578,0.0062,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/5,o2o_enatl_wo_tide_filt_25h_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/6,o2o_glo12_free_dc_split,4DVarNet,0.8770539330082889,111.0,0.07769680030693886,0.066734445043597,70.52264830087967,0.8881098458930722,0.038284049934089,10.812,1.223,0.93412,0.00962,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/6,o2o_glo12_free_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/2,o2o_enatl_w_tide_filt_25h_dc_split,4DVarNet,0.8943359666992661,111.0,0.07239794934915465,0.0549781205440194,110.16150009192032,0.906171956824124,0.0250107423421352,5.685,1.017,0.95696,0.0067,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/2,o2o_enatl_w_tide_filt_25h_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/1,o2o_enatl_w_tide_dc_split,4DVarNet,0.8943705891191841,111.0,0.07252028421109878,0.0550621871405077,100.46296782649496,0.906593878982496,0.0256975801037165,20.826,0.844,0.95578,0.00581,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/1,o2o_enatl_w_tide_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/3,o2o_enatl_wo_tide_dac_only_dc_split,4DVarNet,0.8915663966351686,111.0,0.06786195106933031,0.0569500355765041,110.06971402973076,0.9030846894163396,0.0242369918837206,5.764,1.03,0.95829,0.00626,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/3,o2o_enatl_wo_tide_dac_only_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
bigger_model,base,4DVarNet,0.8741257070876587,111.0,0.08095281397817318,0.0691398814738642,118.78496168709876,0.8821733258224177,0.0273821325954188,6.542,0.921,0.95262,0.00745,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,1.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,128.0,256.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-08/18-03-11,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
base_aug2,base,4DVarNet,0.8840663983919447,112.0,0.07403542639232842,0.0621410334541918,117.6705331067866,0.8932851890608743,0.027608910330869,7.737,0.969,0.95223,0.00708,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,2.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,3.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-08/12-17-28,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
cnatl,base,4DVarNet,0.8931530337153274,112.0,0.07550396344104567,0.055601045879232,116.19811515271212,0.9057498038274366,0.0293795907393126,7.495,0.773,0.94903,0.01293,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,0.0,False,2013-02-24,200.0,200.0,8.0,src.data.BaseDataModule,src.utils.load_full_natl_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-03/09-59-57,base,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
smaller_mod,big_mod,4DVarNet,0.8743427943459394,113.0,0.08781324085350503,0.0692776163406762,118.49115643993942,0.8814928193939671,0.032033658130618,6.692,1.004,0.94448,0.02506,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,4.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,1.0,32.0,64.0,0.003,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-11/09-48-04,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
orca_obs_from_tgt,o2o_orca25_dc_split,4DVarNet,0.8765636756738603,115.0,0.07498822042062886,0.0668212008140043,70.60102192290978,0.8872307861107831,0.0413083070103471,11.09,1.293,0.92892,0.01051,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-21/18-03-44,o2o_orca25_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
o2o_obs_from_tgt/7,o2o_glo12_rea_dc_split,4DVarNet,0.8895295628872134,115.0,0.07467547786046586,0.0579907419714916,77.46795346498804,0.9011514756339232,0.0274833805959852,6.958,0.956,0.95271,0.0062,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-16/14-25-50/7,o2o_glo12_rea_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
natl_obs_from_tgt,o2o_natl20_dc_split,4DVarNet,0.8940676593478185,115.0,0.07509359721107116,0.0550528851733405,108.74528124863534,0.9057650564375146,0.0243961555620359,18.025,1.035,0.95802,0.00686,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-03-21/16-36-29,o2o_natl20_dc_split,1000.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
swa_augonly1,big_mod,4DVarNet,0.8700874726741874,117.0,0.08653325620149824,0.0718047140333662,122.58407188031872,0.8774171781968519,0.0309141421916322,7.96,1.158,0.94656,0.00832,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,1.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,4.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-13/16-17-23,big_mod,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
swa_aug0_200ep,base,4DVarNet,0.8869364560687489,118.0,0.07629866100149381,0.0586661028376164,120.0794415306703,0.8891853999947563,0.029100302129884,8.124,1.178,0.94995,0.00769,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,0.0,False,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,2.0,50.0,75.0,0.002,10.0,10.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-07/16-22-07,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
swa_sota_200ep_noaug,base,4DVarNet,0.8859063592357476,119.0,0.0769217023520802,0.0600725434166299,123.21008223979533,0.8991314510585419,0.0303566752211484,8.822,1.209,0.94779,0.00788,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,0.0,True,2013-02-04,240.0,240.0,8.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_cropped_hanning_mask,2.0,50.0,75.0,0.002,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/outputs/2023-02-07/15-06-23,base,200.0,pytorch_lightning.callbacks.StochasticWeightAveraging,{epoch:03d}-{val_rmse:.4f}
tgt_from_obs_waug_not/2,o2o_glo12_free_no_t,4DVarNet,0.8890897228020531,120.0,0.07525065703667247,0.0582989275354258,120.58705929283038,0.9013775027601528,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-30/13-15-52/2,o2o_glo12_free_no_t,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
tgt_from_obs_waug_glo/0,o2o_glo12_free_dc_split,4DVarNet,0.8877932510098099,121.0,0.07440786142806277,0.0591681843784975,121.46514103790216,0.8992725271783646,,,,,,data/natl_gf_w_5nadirs.nc,2012-12-15,2013-02-24,5.0,False,2013-02-24,200.0,200.0,4.0,src.data.BaseDataModule,src.utils.load_altimetry_data,15.0,src.utils.cosanneal_lr_adam,src.utils.get_triang_time_wei,0.0,64.0,96.0,0.001,20.0,20.0,15.0,15.0,8.0,3.0,15.0,15.0,15.0,/raid/localscratch/qfebvre/4dvarnet-starter/multirun/2023-03-30/13-07-37/0,o2o_glo12_free_dc_split,300.0,pytorch_lightning.callbacks.LearningRateMonitor,{epoch:03d}-{val_rmse:.4f}
